"Name","model.r_max","model.l_max","model.num_layers","model.num_tensor_features","model.num_scalar_features","model.allegro_mlp_hidden_layers_width","test0_epoch/forces_mae","test0_epoch/forces_rmse","test0_epoch/per_atom_energy_mae","test0_epoch/per_atom_energy_rmse","test0_epoch/total_energy_mae","test0_epoch/stress_mae","test0_epoch/stress_rmse","test0_epoch/weighted_sum","val0_epoch/total_energy_mae","val0_epoch/stress_mae","val0_epoch/per_atom_energy_mae","val0_epoch/forces_mae","val0_epoch/forces_rmse","val0_epoch/per_atom_energy_rmse","val0_epoch/stress_rmse","val0_epoch/weighted_sum"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold1_seed2","5","2","2","64","128","256","0.17861178910094624","0.28668534547966634","0.022165281184891507","0.029711873669117365","2.150696976148022","0.007457867893471292","0.01470640509239091","0.1202526504416972","2.137281772562197","0.007312467579870269","0.022839209389700382","0.18900187339460195","0.36952209296074173","0.03663659730577841","0.016264168635709945","0.12704927063969151"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold1_seed1","5","2","2","64","128","256","0.1758621922877834","0.2842812007867169","0.02270740298628226","0.0327754211135612","2.1542465964024298","0.007412908943612024","0.014311111028612523","0.1184360492232336","2.1273399815636527","0.007260155545973713","0.023270305392183808","0.1859777826634262","0.3746725248476924","0.0363236838556208","0.01570057666375785","0.12504820167385314"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold1_seed0","5","2","2","64","128","256","0.17286963067471536","0.27949585567199686","0.022417648361360232","0.030713236235396905","2.1547605479015286","0.006732451678234233","0.013414910572077715","0.11623961150069718","2.1513332215065124","0.006858010477506856","0.023183106791107317","0.18291278714769052","0.3609816106265279","0.03556952162171828","0.016984827097603558","0.12289832534359613"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold0_seed2","5","2","2","64","128","256","0.1889720785988846","0.296815215106626","0.023077831873187248","0.03072185474838722","2.254698969055011","0.007363648354652066","0.014549144014144902","0.12704964435110158","2.2639292607720236","0.007651666997711743","0.02396321062637751","0.19504847951356097","0.337030686679524","0.04329406093339834","0.019576024676531193","0.13115366922693708"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold0_seed1","5","2","2","64","128","256","0.1889869971462039","0.30276448932744454","0.023662680029335425","0.03226607652558078","2.268041344154282","0.007743508575472333","0.0152564502294792","0.12719210857534655","2.249039931944334","0.007963894963018085","0.02399963629240557","0.1946161126868991","0.32830619464891336","0.03857370310477179","0.017974331508327033","0.13097240321990544"
"hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256_fold0_seed0","5","2","2","64","128","256","0.18473369230012085","0.2968771593113328","0.02279579476414367","0.03005690292518741","2.1949378167385505","0.007093706447744179","0.01367404782591774","0.12416872461794463","2.232450343380852","0.007420399353885432","0.02354596104161209","0.18957730293213315","0.3307020557915637","0.037034880090896984","0.017702975442368415","0.12747264594072905"
"hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128_fold2_seed2","5","2","2","64","128","128","0.19152708751618727","0.2990350598972937","0.024390803236085196","0.03727831419179069","2.2408874379313803","0.007630788133275404","0.015418440126922612","0.1288357221365439","2.315970208976524","0.007393377192136928","0.02475335637887478","0.19742695492641832","0.3119335483706722","0.0409078236725881","0.014684066028252852","0.13264388858556864"
"hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128_fold2_seed1","5","2","2","64","128","128","0.19469295514975177","0.3045552580870042","0.0233940334135636","0.03353994021731784","2.2032886308439807","0.007858656406175293","0.01535161168111965","0.1309803710665202","2.286583974349584","0.00777715245625284","0.024284889100209043","0.19978033461938183","0.31059449802309397","0.03968628497596517","0.016531902450427627","0.13431224251941606"
"hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128_fold2_seed0","5","2","2","64","128","128","0.1905962813902322","0.29971962791342854","0.023705806173445403","0.032744820559299094","2.3014675658557153","0.007406688622817228","0.01417783379856934","0.12814061962178275","2.348187611893981","0.007364227684673597","0.02450637674575011","0.19520087134491904","0.31119465159675724","0.03635264408581962","0.014974817624357333","0.13116652152774397"
"hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128_fold1_seed2","5","2","2","64","128","128","0.18753029666154136","0.29433241153977896","0.023643175452501473","0.03193682700791617","2.224748425301661","0.007379476293959125","0.014574318144304491","0.1261137488931388","2.2137973712942736","0.007304714871839764","0.02394835631678829","0.19733870477386264","0.3747714694396419","0.03303749025811777","0.01497701595460913","0.13254607193165677"
